계열(family),매칭유형,ingredient_id,성분명_한글,성분명_영문(INCI),배합목적,매칭근거
콜라겐 계열,유연물질(관련이지만 다른 물질),3522,팔미토일트라이펩타이드-5,Palmitoyl Tripeptide-5,피부컨디셔닝제(기타),콜라겐 직접 함유 아님 — 콜라겐 합성을 촉진한다고 알려진 펩타이드(목적 교차검증)
콜라겐 계열,유연물질(관련이지만 다른 물질),4834,헥사펩타이드-2,Hexapeptide-2,피부컨디셔닝제(기타),콜라겐 직접 함유 아님 — 콜라겐 합성을 촉진한다고 알려진 펩타이드(목적 교차검증)
콜라겐 계열,유연물질(관련이지만 다른 물질),4837,헥사펩타이드-9,Hexapeptide-9,피부컨디셔닝제(기타),콜라겐 직접 함유 아님 — 콜라겐 합성을 촉진한다고 알려진 펩타이드(목적 교차검증)
비피다 발효물 계열,정확(어근일치),732,비피다발효여과물,Bifida Ferment Filtrate,,"어근: 비피다, Bifida"
비피다 발효물 계열,정확(어근일치),734,비피다발효용해물,Bifida Ferment Lysate,피부컨디셔닝제(기타); 피부컨디셔닝제,"어근: 비피다, Bifida"
마데카소사이드 계열,정확(어근일치),70,마데카소사이드,Madecassoside,산화방지제; 피부보호제; 피부컨디셔닝제(기타),"어근: 마데카소사이드, Madecassoside"
마데카소사이드 계열,유연물질(관련이지만 다른 물질),71,마데카식애씨드,Madecassic Acid,피부컨디셔닝제(기타),같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),539,병풀잎추출물,Centella Asiatica Leaf Extract,피부컨디셔닝제(기타),같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),540,병풀추출물,Centella Asiatica Extract,피부컨디셔닝제(기타); 피부컨디셔닝제,같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),1737,아시아티코사이드,Asiaticoside,산화방지제; 피부컨디셔닝제(기타); 피부컨디셔닝제,같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),1738,아시아틱애씨드,Asiatic Acid,피부컨디셔닝제(기타); 피부컨디셔닝제,같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),16210,병풀꽃/잎/줄기추출물,Centella Asiatica Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
마데카소사이드 계열,유연물질(관련이지만 다른 물질),17069,병풀뿌리추출물,Centella Asiatica Root Extract,피부컨디셔닝제(기타),같은 병풀(Centella Asiatica) 유래지만 마데카소사이드와 화학적으로 다른 화합물
NMN 계열,정확(어근일치),19540,니코틴아마이드모노뉴클레오타이드,Nicotinamide Mononucleotide,산화방지제; 피부컨디셔닝제(기타); 피부컨디셔닝제,"어근: 니코틴아마이드모노뉴클레오타이드, Nicotinamide Mononucleotide"
EGF 계열,정확(DB 정의문 근거),7477,에스에이치-올리고펩타이드-1,sh-Oligopeptide-1,피부컨디셔닝제(기타),"DB summary(정의 원문)에 ""상피세포성장인자(Epidermal Growth Factor)를 코딩하는 사람 유전자와 동일한 코드로 합성""이라고 명시 — 어근매칭 아닌 정의문 근거, 사용자 확인 완료"
